,location,description,price,no_beds,square_foot,Type,Furnishing,building,place
253,"Sri Rajarajeshwari,Beeramguda, Ramachandra Puram,Hyderabad","This well-built,sprawing Unfurnished property can be yours. Your search for an aspirational lifestyle ends here. Come home to grab your favourite 2 BHK Independent House. Property for rent available in Ramachandra Puram. If you are looking for affordable flats on rent in Hyderabad, you have arrived at the right place. Rent of Rs 10000 excludes maintenance charges. Fee of Rs 20000 for security charges apply. Check out this affordable property with built up area of 1350 sq ft on rent. Rent this 1000 sq ft (Carpet Area) property at an economical price.  It is available for lease from 2021-12-29. ...Read more","10,000",2,1350,Independent, Unfurnished ,Sri Rajarajeshwari, Ramachandra Puram
254,"Krishna Apartment,Owaisi Pura, Masab Tank,Hyderabad","A spacious home designed for families aspiring for a modern lifestyle, this Apartment is available for affordable rent in Hyderabad. It is a 3 BHK Apartment situated in Masab Tank at a coveted location with well-developed infrastructure. This Apartment is a good example of a well-planned residential property with all new-age conveniences available for the residents. The unit is Furnished. The 3 BHK property has been impeccably designed property to meet the space needs of a contemporary home seeker. This 3 BHK unit is built on floor 2 out of a total 5 floors. There are 3 bedrooms and 3 bathroom...Read more","30,000",3,1800,Flat, Semi Furnished ,Krishna Apartment, Masab Tank
255,"Trend Trendset Winz,Financial District, Nanakaramguda,Hyderabad","3 bhk apartment available in trendset winz, financial district, hyderabad. Located in a fully secured gated society, it has a super built-Up area of 2800 sq. Ft. It is an attractive and a newly constructed property. There is no power cut. The property has an amazing location and is semifurnished. It has 3 balcony(s) which offer an excellent view.Read more","55,000",3,2800,Flat, Semi Furnished ,Trend Trendset Winz, Nanakaramguda
256,"MIG Phase 2 Colony, Serilingampally,Hyderabad",Gated community 3 floor 2nd floor is for rent ready to occupy constructed newly Read more,"12,000",2,1200,Independent, Semi Furnished ,MIG Phase 2 Colony, Serilingampally
257," Vijaya Raghava Township,Serilingampally, Hyderabad","Your search for a spacious home at affordable rent in Hyderabad ends here. The 2 BHK property offers a serene environment with excellent views of the city. This Apartment is equipped with the latest lifestyle amenities and all the conveniences at the doorstep. It is an unfurnished Apartment. This unit is built on floor 5 out of a total 5 floors. The Apartment has been thoughtfully designed to meet a family’s space needs, with 2 bedrooms. It includes 2 bathroom. There are 1 balcony that lets you enjoy scenic views. The built-up area of this Apartment is 1100 Square feet. Residents need to pay a...Read more","16,000",2,1100,Flat, Semi Furnished , Vijaya Raghava Township, Serilingampally
258,"Aparna Cyber Life by Aparna Constructions and Estates Pvt. Ltd.,Serilingampally, Hyderabad","Neat and clean, this Semi-furnished property is just what you were looking for. Spacious 3 BHK Apartment is available for rent.  Homes for rent available in Hyderabad. Tenants prefer this affordable address which is Gachibowli. Affordable property available in Serilingampally at unbelievable prices. Check out now. The property is on floor number 1 in a building with 13 floors. No negotiation on security charges of Rs 50000. Amount of Rs 35000 to be paid as rent excludes other monthly charges. Searching for up to 1740 sq ft built up area property at an affordable rent, worry no more. Check out ...Read more","35,000",3,1740,Flat, Semi Furnished ,Aparna Cyber Life by Aparna Constructions and Estates Pvt. Ltd., Serilingampally
259,"Mushk Mahal, Attapur,Hyderabad","Looking for affordably priced 2 BHK on rent? Neat and clean, this Semi-furnished property is just what you were looking for. This time shift to a Independent Floor that you aspire for. Check out Attapur for renting beautiful homes at affordable prices. The property is on floor number 2 in a building with 2 floors. Homes for rent available in Hyderabad. Monthly rent of Rs 10000 is applicable. Security charges of Rs 20000 is applicable. Your search for a spacious 950 sq ft built up area property at an affordable price ends right here. There are 2 baths in this property. Big and spacious home ava...Read more","10,000",2,950,Independent, Semi Furnished ,Mushk Mahal, Attapur
260,"RV Nirmaan Avaneendra,Pragathi Enclave, Miyapur,Hyderabad","Check this beautiful 2 BHK Apartment available for rent in Hyderabad. Nestled at a prime location in Miyapur, it is an ideal home for those looking for a modern lifestyle. The Apartment is Furnished, available for affordable rent. This 2 BHK unit is inside a gated society equipped with various amenities and ample greenery. The Apartment is thoughtfully designed to ensure a comfortable living. It includes 2 bedrooms and 2 bathroom. Out of a total 5 floors, this 2 BHK unit is built on floor 3. It also has 1 balcony that have been spaciously designed and allow you to enjoy the magnificent views o...Read more","18,000",2,1224,Flat, Semi Furnished ,RV Nirmaan Avaneendra, Miyapur
261,"Ganga Nagar, Amberpet,Hyderabad","Come forward to make this coveted address your home. This beautiful 3 BHK is available on rent now. Contact for Apartment near the metro station. Best Semi-furnished property available here. The property is on floor number 3 in a building with 5 floors. House for rent available in Amberpet. Affordable properties now on rent in Hyderabad. Amount of Rs 50000 will be collected from tenant as security charges. Property available for property at Rs 22000. Contact for best deal.   Best 1560 sq ft built up area property available at best rent, your search ends right here. This property is located ver...Read more","22,000",3,1560,Flat, Semi Furnished ,Ganga Nagar, Amberpet
262,"Vijaya Gardens, Nagole,Hyderabad","Your search for a spacious home at affordable rent in Hyderabad ends here. The 2 BHK property offers a serene environment with excellent views of the city. This Independent House is equipped with the latest lifestyle amenities and all the conveniences at the doorstep. It is an unfurnished Independent House. The Independent House has been thoughtfully designed to meet a family’s space needs, with 2 bedrooms. It includes 2 bathroom. There are 0 balcony that lets you enjoy scenic views. The built-up area of this Independent House is 781 Square feet. Project Highlights The Independent House is in ...Read more","25,000",2,781,Independent, Semi Furnished ,Vijaya Gardens, Nagole
263,"G M R C Prime,Hanuman Nagar Colony, Meerpet,Hyderabad",Very close to 2 school and supermarketRead more,"14,500",3,1550,Flat, Fully Furnished ,G M R C Prime, Meerpet
264,"Rns colony,Bayanna Nagar, Boduppal,Hyderabad",Near rns colony bus stop,"7,500",2,1800,Independent, Unfurnished ,Rns colony, Boduppal
265,"Neknampur, Hyderabad","2 BHK Independent Floor available for rent.  It is beautiful Unfurnished property. Property for rent available at unbeatable price in Puppalguda, check out now. Property on rent available at affordable in posh locality of Hyderabad. The property is on the floor number 1 in a building which has 3 floors. The most affordable property in this location is now on rent for only Rs 12000. No negotiation on security charges of Rs 24000. Rent this 1100 sq ft built up area property at an affordable price. All bedrooms have 2 bathroom attached. This affordable property is available on rent, check out the...Read more","12,000",2,1100,Independent, Unfurnished ,Neknampur, Neknampur
266,"Sai Shakthi Gardenia,Police Colony, Kondapur,Hyderabad","Are you looking for an affordable Apartment for rent in Hyderabad?. Here is a spacious 3 BHK Apartment in Kondapur, promising a comfortable lifestyle. The Apartment is Furnished. Built on floor 5 out of a total 5 floors, it is an ideal home providing beautiful views of the city’s skyline. This property is designed to suit your space needs and has 3 bedrooms and 3 bathroom. It also includes 2 balcony. Nestled inside a gated society, this 3 BHK Apartment is a perfect accommodation for families seeking a contemporary lifestyle. The built-up area of the residential property is 1434 Square feet. Th...Read more","32,000",3,1434,Flat, Semi Furnished ,Sai Shakthi Gardenia, Kondapur
267,"Allwyn Colony, Kukatpally,Hyderabad",Check out this Unfurnished property available at an economical rent. Spacious 1 BHK property available for rent. Affordable Independent Floor on rent available near your office. House for rent available in Jagadgiri Gutta. Property on rent available at affordable in posh locality of Hyderabad. The property is on the floor number 2 in a building which has 3 floors. Rent value of Rs 8500 is expected. Amount of Rs 18000 will be collected from tenant as security charges. Your dream 600 sq ft (Carpet Area) property is now available at an affordable rent. Searching for up to 700 sq ft built up area ...Read more,"8,500",1,700,Independent, Unfurnished ,Allwyn Colony, Kukatpally
268,"Madhava Hills Estates, Serilingampally,Hyderabad","Looking for affordably priced 2 BHK on rent? Semi-furnished property near your office location at best price. Affordable Independent Floor on rent available near your office. Luxury lifestyle in the heart of Hyderabad available now. Affordable rental property available in Serilingampally, check out now. The property is on floor number 2 in a building with 2 floors. Security amount of Rs 35000 will be charged. Amount of Rs 17000 to be paid as rent excludes other monthly charges. Your search for a spacious 1000 sq ft built up area property at an affordable price ends right here. Beautiful, moder...Read more","17,000",2,1000,Independent, Semi Furnished ,Madhava Hills Estates, Serilingampally
269,"Sai Siva Residency Gangaram Hyderabad ,Gangaram, Chandanagar,Hyderabad","This property is located in prime area with plenty of water and security. Surrounded with banks,supermarkets, hospitals,bustops and mmts railway station. It is in walkable distance to Bombay national highway. Read more","11,000",2,815,Flat, Unfurnished ,Sai Siva Residency Gangaram Hyderabad , Chandanagar
270,"Chid Villas,Manikonda, Hyderabad","This spacious 2 BHK Apartment is Semi-furnished. The property is on floor number 1 in a building with 4 floors. Spacious property available for rent only in Manikonda. Mid-segment homes for rent now in Hyderabad. Security amount of Rs 30000 is fixed. Rent value of Rs 15000 is expected. Check out this 1155 sq ft built up area property, available at an affordable rent. 2 separate bath is provided. This property is ready to move in from 2021-11-20. Your search for affordable home ends right here! Check out these 21 pictures. Rent a home near Care Hospitals - Hi-tech City, Hyderabad, Sunshine Hosp...Read more","15,000",2,1155,Flat, Semi Furnished ,Chid Villas, Manikonda
271,"ksr residency gachibowli,Phase 3, Gachibowli,Hyderabad",Ksr residency gachibowli journalist colony phase 3 Vivekanadangar.Read more,"10,000",1,450,Flat, Semi Furnished ,ksr residency gachibowli, Gachibowli
272,"Mahati My Nest Mahati,Forest Dept Colony, Kondapur,Hyderabad","My Nest Mahati is an unmatched Residential property located in Kondapur, Hyderabad. The project offers plenty of benefits that includes prime location, comfortable and lavish lifestyle, great amenities, healthy surroundings and high return.

Location Advantages:. My Nest Mahati is strategically located and provides direct connectivity to nearly all other major points in and around Hyderabad. It is one of the most reputable address of the city with easy access to many famed schools, shopping areas, hospitals, recreational areas, public gardens and several other public amenities.

Builder Inform...Read more","18,000",3,1465,Flat, Semi Furnished ,Mahati My Nest Mahati, Kondapur
273,"Kundanbagh, Begumpet,Hyderabad","Your search for a spacious home at affordable rent in Hyderabad ends here. The 3 BHK property offers a serene environment with excellent views of the city. This Apartment is equipped with the latest lifestyle amenities and all the conveniences at the doorstep. It is an unfurnished Apartment. This unit is built on floor 0 out of a total 4 floors. The Apartment has been thoughtfully designed to meet a family’s space needs, with 3 bedrooms. It includes 2 bathroom. There are 1 balcony that lets you enjoy scenic views. The built-up area of this Apartment is 1500 Square feet. The carpet area is 1198...Read more","19,000",3,1500,Flat, Unfurnished ,Kundanbagh, Begumpet
274,"DLR Enclave, Sainikpuri,Hyderabad","This is a very nicely done Semi-furnished property available for rent. Spacious 1 BHK property available for rent. Affordable Independent Floor on rent available near your office. World-class property available for rent in Hyderabad. Affordable rental house available in Sainikpuri. The property is on floor number 1 in a building with 2 floors. The most affordable property in this location is now on rent for only Rs 9500. Rs 20000 will be taken as security money. If you are looking for about 530 sq ft (Carpet Area) property near your office, this is a perfect fit. This property has a built up a...Read more","9,500",1,700,Independent, Semi Furnished ,DLR Enclave, Sainikpuri
275,"Gouri Shankar Nagar Colony, Banjara Hills,Hyderabad","2 BHK in 2nd floor. Banjara Hills, Road No: 11.  Landmark: Minerva Grand Restaurant/Blue Fox Restaurant.

Fully secured with a security guard in service.  Parking available. 24 hours water supply. Good ventilation with 1 balcony. Read more","34,000",1,1300,Independent, Unfurnished ,Gouri Shankar Nagar Colony, Banjara Hills
276,"Defence Colony, Sainikpuri,Hyderabad",Very ideally located in a area which has all the required amenities in a distance of less than 200 meters. 24hours water. No Lift. Open terrace of about 3000 Sq. feet. only 4 residences. Shops on ground floor.   Read more,"14,000",2,1150,Flat, Semi Furnished ,Defence Colony, Sainikpuri
277,"Sri Vijayasanthi Enclave,Kompally, Hyderabad","Independent Duplex house- 3 bed rooms , 3 bath rooms, 2000Sqft built up area, All bedrooms with AC; All bathroom with water heaters; Bedrooms with cupboards, Kitchen with exhaust fan; Totally renovated house with 2 water tanks - all maintenance & electricity bills paid till date. Conveniently located in prime area- easy access to all main road (<100m).  Preferred to families with Salaried income.Read more","25,000",3,2000,Independent, Semi Furnished ,Sri Vijayasanthi Enclave, Kompally
278,"Wadi-E-Mahmood, Chintalmet,Hyderabad","Affordable Apartment on rent available near your office. Rent 3 BHK near your office location. It is beautiful Semi-furnished property. Mid-segment homes for rent now in Hyderabad. Affordable rental property available in Chintalmet, check out now. The property is on the floor number 3 in a building which has 6 floors. Rent value of Rs 17000 is expected. Security amount of Rs 34000 is fixed. Searching for up to 1600 sq ft built up area property at an affordable rent, worry no more. It is available for lease from 2022-01-02. There are 3 baths in this property. Check out 29 photographs of this li...Read more","17,000",3,1600,Flat, Semi Furnished ,Wadi-E-Mahmood, Chintalmet
279,"Praneeth Pranav Homes,Krishna Reddy Pet, Hyderabad","Green house with many plants,schools & supermarkets. Very peaceful area with good ventilation & facilities. Read more","19,000",3,1900,Villa, Semi Furnished ,Praneeth Pranav Homes, Krishna Reddy Pet
280,"Akshaya Residency,Adibatla, Hyderabad","This Apartment offers spacious and modern lifestyle. Unfurnished property available for rent can be yours now. Your search for 2 BHK property near your workplace is over. Check out this beautiful property available on rent. Sprawling property available at affordable rent in Adibhatla. The property is on floor number 1 in a building with 5 floors. Looking for rental property in Hyderabad? This is a beautiful, spacious 1192 sq ft built up area property available within your price range. It is available starting 2021-04-11. 2 separate bath is provided. Your search for affordable home ends right h...Read more","7,000",2,1192,Flat, Unfurnished ,Akshaya Residency, Adibatla
281,"Manikonda, Hyderabad",Check out this Semi-furnished property available at an economical rent. Spacious Apartment available at affordable rent. Rent 3 BHK near your office location. Affordable property available in Manikonda at unbelievable prices. Check out now. Affordable properties now on rent in Hyderabad. The property is on the floor number 1 in a building which has 5 floors. Monthly rent of Rs 28200 is applicable. No negotiation on security charges of Rs 75000. This spacious 1710 sq ft (Carpet Area) property is available at affordable rent. Searching for up to 1800 sq ft built up area property at an affordable...Read more,"28,200",3,1800,Flat, Semi Furnished ,Manikonda, Manikonda
282,"Gaddi Annaram, Dilsukh Nagar,Hyderabad",Your search for 2 BHK property near your workplace is over. Check out this beautiful property available on rent. Check out this beautifully designed Semi-furnished property. Make this Apartment your home at affordable monthly rent. Sprawling property available at affordable rent in Dilsukh Nagar. The property is on floor number 4 in a building with 5 floors. Affordable properties now on rent in Hyderabad. Property for rent available at an unbeatable price of Rs 15000. An amount of Rs 45000 levied as security charges is applicable. Searching for up to 980 sq ft built up area property at an affo...Read more,"15,000",2,980,Flat, Semi Furnished ,Gaddi Annaram, Dilsukh Nagar
283,"Phase 3, Gachibowli,Hyderabad","Check out this Independent Floor available for rent in Gachibowli in Hyderabad. It is a 3 BHK unit that comes at an affordable rent, with modern features and premium amenities to suit your lifestyle needs. The unit is Furnished. With numerous new-age amenities and green surroundings, this Independent Floor provides a convenient lifestyle for residents. A spacious house for your family, this unit includes 3 bedrooms. There are 3 bathroom and 2 balcony. It has a built-up area of 1600 Square feet. The carpet area is 1500 Square feet. The Independent Floor is built on 1 floor. The building has a t...Read more","25,000",3,1600,Independent, Semi Furnished ,Phase 3, Gachibowli
284,"Gouri Shankar Nagar Colony, Banjara Hills,Hyderabad","Looking for Apartment at pocket-friendly prices? Your search ends here. Enviable homes for rent available, grab your favourite 3 BHK property now. Fully Furnished property near your office location at best price. If you are looking for affordable flats on rent in Hyderabad, you have arrived at the right place. Property for rent available in Banjara Hills. The property is on the floor number 1 in a building which has 4 floors. Amount of Rs 35000 to be paid as rent. Affordable property on rent with only Rs 100000 as security charges. Searching for up to 1500 sq ft built up area property at an af...Read more","35,000",3,1500,Flat, Fully Furnished ,Gouri Shankar Nagar Colony, Banjara Hills
285,"Vijaya Sai Residency,Tiwari Nagar, Miyapur,Hyderabad","A spacious home designed for families aspiring for a modern lifestyle, this Apartment is available for affordable rent in Hyderabad. It is a 2 BHK Apartment situated in Miyapur at a coveted location with well-developed infrastructure. This Apartment is a good example of a well-planned residential property with all new-age conveniences available for the residents. The unit is Furnished. The 2 BHK property has been impeccably designed property to meet the space needs of a contemporary home seeker. The property is East facing, built as per Vastu principles. This 2 BHK unit is built on floor 1 out...Read more","15,000",2,800,Flat, Semi Furnished ,Vijaya Sai Residency, Miyapur
286,"SSD Serene Ville,Narsingi, Hyderabad","Check out this Villa available for rent in Narsingi in Hyderabad. It is a 3 BHK unit that comes at an affordable rent, with modern features and premium amenities to suit your lifestyle needs. The unit is Furnished. With numerous new-age amenities and green surroundings, this Villa provides a convenient lifestyle for residents. A spacious house for your family, this unit includes 3 bedrooms. There are 4 bathroom and 3 balcony. It has a built-up area of 3431 Square feet. The monthly rent is Rs 49000 and the security deposit to be paid by residents is Rs 100000. Project Highlights The developer a...Read more","49,000",3,3431,Villa, Semi Furnished ,SSD Serene Ville, Narsingi
287,"Anand Nagar, Bowenpally,Hyderabad","This is a  Semi-furnished 3 BHK property. It is a beautiful Apartment. The property is on the floor number 1 in a building which has 2 floors. Property on rent available at affordable in posh locality of Hyderabad. Property for rent available at unbeatable price in Bowenpally, check out now. No negotiation on security charges of Rs 36000. Rent of Rs 18000 excludes maintenance charges. Best 1500 sq ft built up area property available at best rent, your search ends right here. It is available for lease from 2021-08-31. Check out 19 photographs of this limited-edition property available at unbeat...Read more","18,000",3,1500,Flat, Semi Furnished ,Anand Nagar, Bowenpally
288,"Maruthi Nagar, Kothapet,Hyderabad","If you are looking for a modern house on rent in Hyderabad, this Independent House in Kothapet can be your perfect home. It is a 2 BHK Independent House designed to meet your space and lifestyle needs. The 2 BHK unit is Furnished. This rented 2 BHK property is spacious and well-designed, with access to all the conveniences for any modern home seeker. It also has 1 balcony, giving uninterrupted views of the surroundings. There is lush greenery around this Independent House. The carpet area of this unit is 650 Square feet. The built-up area is 700 Square feet. The monthly rent payable for this I...Read more","6,500",2,700,Independent, Semi Furnished ,Maruthi Nagar, Kothapet
289,"Vasanth Nagar Colony, Nizampet,Hyderabad","This is a very nicely done Semi-furnished property available for rent. Affordable Apartment on rent available near your office. Looking for affordably priced 3 BHK on rent? The property is on floor number 2 in a building with 5 floors. Homes that define aspirational lifestyle now in Hyderabad. House for rent available in Nizampet. Fabulous property available for rent at an affordable price of Rs 16000. Fee of Rs 40000 for security charges apply. This 1675 sq ft built up area property is available on rent at an affordable price. This affordable property is available on rent, check out these 15 ...Read more","16,000",3,1675,Flat, Semi Furnished ,Vasanth Nagar Colony, Nizampet
290,"Velly View Enclave, Bandlaguda Jagir,Hyderabad","This spacious 1 BHK Independent House is Fully Furnished. Affordable properties now on rent in Hyderabad. Spacious property available for rent only in Bandlaguda. Security amount of Rs 17000 is fixed. Amount of Rs 8500 to be paid as rent excludes other monthly charges. Check out this 700 sq ft built up area property, available at an affordable rent. Looking for spacious home near your office? Check 11 photos of this property offering excellent connectivity. Best tiles in all 1 bathrooms. This property is located very close to and will be available on rent from 2021-12-27. World-class hospital,...Read more","8,500",1,700,Independent, Fully Furnished ,Velly View Enclave, Bandlaguda Jagir
291,"Sri Krishna Devaraya Nagar, Vanasthalipuram,Hyderabad","Looking for affordably priced 2 BHK on rent? Semi-furnished property available for rent can be yours now. Find Independent House on affordable rent near your office. House for rent available in Vanasthalipuram. Properties on rent in Hyderabad, contact for more information. Fee of Rs 26000 for security charges apply. Contact the owner for the exact price. Rent of Rs 13000 is quoted. Best 1200 sq ft built up area property available at best rent, your search ends right here. If you are looking for about 1150 sq ft (Carpet Area) property near your office, this is a perfect fit. All bedrooms have 2...Read more","13,000",2,1200,Independent, Semi Furnished ,Sri Krishna Devaraya Nagar, Vanasthalipuram
292,"Southend Park, Mansoorabad,Hyderabad","Check this beautiful 2 BHK Independent Floor available for rent in Hyderabad. Nestled at a prime location in Mansoorabad, it is an ideal home for those looking for a modern lifestyle. The Independent Floor is Furnished, available for affordable rent. This 2 BHK unit is inside a gated society equipped with various amenities and ample greenery. The Independent Floor is thoughtfully designed to ensure a comfortable living. It includes 2 bedrooms and 2 bathroom. Out of a total 1 floors, this 2 BHK unit is built on floor 1. It also has 1 balcony that have been spaciously designed and allow you to e...Read more","10,000",2,1000,Independent, Unfurnished ,Southend Park, Mansoorabad
293,"Lingama ashriwad bhavan ,Bhavani Nagar, Old Bowenpally,Hyderabad","This 2 BHK property will let you live life king size. Rent this Apartment that matches your requirements and budget. This is a very nicely done Semi-furnished property available for rent. Properties on rent in Hyderabad, contact for more information. Affordable rental house available in Old Bowenpally. Your search for rented home at Hal Colony, Rr Nagar,old Bowenpally ends here. The property is on the floor number 3 in a building which has 4 floors. This luxurious property is available at an affordable rent of Rs 18000. An amount of Rs 36000 levied as security charges is applicable. Searching ...Read more","18,000",2,1300,Flat, Semi Furnished ,Lingama ashriwad bhavan , Old Bowenpally
294,"Kranthi hills,Prashanth Nagar, Vanasthalipuram,Hyderabad","Rent a 2 BHK Apartment in this landmark location. It is beautiful Semi-furnished property. Homes that define aspirational lifestyle now in Hyderabad. Property for rent available at unbeatable price in Vanasthalipuram, check out now. The property is on the floor number 3 in a building which has 3 floors. Affordable property on rent with only Rs 26000 as security charges. The most affordable property in this location is now on rent for only Rs 13000. Your search for a spacious 900 sq ft built up area property at an affordable price ends right here. Property on rent near metro is available from 2...Read more","13,000",2,900,Flat, Semi Furnished ,Kranthi hills, Vanasthalipuram
295,"Manneguda, Hyderabad","If you are looking for a modern house on rent in Hyderabad, this Independent House in Manneguda can be your perfect home. It is a 2 BHK Independent House designed to meet your space and lifestyle needs. The 2 BHK unit is Furnished. This rented 2 BHK property is spacious and well-designed, with access to all the conveniences for any modern home seeker. It also has 1 balcony, giving uninterrupted views of the surroundings. There is lush greenery around this Independent House. It is a East facing Independent House designed as per Vastu principles. The built-up area is 1100 Square feet. The monthl...Read more","8,000",2,1100,Independent, Semi Furnished ,Manneguda, Manneguda
296,"Bachupally, Hyderabad","Find an affordable Unfurnished property here. This property which is a 1 BHK Independent House is located in the best part of the city. Property for rent available in Bachupally. Rent this property offered at best rent, located at Road No. 9, Renuka Yellamma Colony, Bachupally, Hyderabad. World-class property available for rent in Hyderabad. Monthly rent is Rs 8500. Contact for more information. Security charges of Rs 17000 is applicable. Your search for a spacious 600 sq ft built up area property at an affordable price ends right here. Check out these 11 photos for this affordable property av...Read more","8,500",1,600,Independent, Unfurnished ,Bachupally, Bachupally
297," Devki Chambers,Ramgopalpet, Hyderabad","It is a splendid,Unfurnished 1 BHK Apartment. Mid-segment homes for rent now in Hyderabad. The property is on the floor number 1 in a building which has 3 floors. Check out Ramgopalpet for renting beautiful homes at affordable prices. This luxurious property is available at an affordable rent of Rs 10000. Rs 50000 will be taken as security money. Check out this 550 sq ft (Carpet Area) property with spacious rooms. This is a beautiful, spacious 550 sq ft built up area property available within your price range. Hot and cold water provision in all 1 bathrooms. It is available for lease from 2021...Read more","10,000",1,550,Flat, Unfurnished , Devki Chambers, Ramgopalpet
298,"Financial District, Nanakaramguda,Hyderabad","teak wood main doors,full flat ( false ceiling) , geyser available for both the bathrooms, exhaust fans , single piece commode, mirror fitting available, curtain rods,  branded (fan fitting, tubelights ,synks ,geyser , mirrors , full spacious bed rooms , wide balcony with design , all windows granite works Read more","16,000",2,1250,Independent, Semi Furnished ,Financial District, Nanakaramguda
299,"Alkapur Township, Puppalaguda,Hyderabad","This is a modern and stylish home available for affordable rent in Hyderabad. It is a 1 BHK Independent House situated at Puppalguda. Designed to meet your lifestyle needs, the Independent House provides a range of modern amenities for the comfort of the residents. It is Furnished. Modern home seekers will experience a comfortable living in this 1 BHK property. The 1 BHK unit is elegantly designed to meet your housing needs. The Independent House has 1 bedroom. It has 1 bathroom. The 1 BHK unit also includes 0 balcony giving splendid views of the surroundings. The built-up area of the Independ...Read more","6,500",1,220,Independent, Semi Furnished ,Alkapur Township, Puppalaguda
300,"Manne Shanthi Sagar,Dilshad Nagar Colony, Mehdipatnam,Hyderabad",Rent this fabulous Semi-furnished property at an affordable price. Rent 1 BHK near your office location. Looking for Independent Floor at pocket-friendly prices? Your search ends here. Check out this affordable property now available at 12-2-743 Rethi Bowli Mehdipatnam Hyderabad 500028. Homes that define aspirational lifestyle now in Hyderabad. Check out Mehdipatnam for renting beautiful homes at affordable prices. An amount of Rs 7000 levied as security charges is applicable. Amount of Rs 7000 to be paid as rent. Find best 450 sq ft (Carpet Area) property at an affordable rent here. Best 500 ...Read more,"7,000",1,500,Independent, Semi Furnished ,Manne Shanthi Sagar, Mehdipatnam
301,"Kothapeta, Hyderabad",Beautiful and spacious Independent Floor available for rent. Newly built Unfurnished property available at best rent. Your search for 2 BHK property near your workplace is over. Check out this beautiful property available on rent. Affordable properties now on rent in Hyderabad. The property is on the floor number 0 in a building which has 3 floors. Check out Kothapeta for renting beautiful homes at affordable prices. Contact the owner for the exact price. Rent of Rs 15500 is quoted. Security amount of Rs 15500 will be charged. Rent this 1500 sq ft built up area property at an affordable price....Read more,"15,500",2,1500,Independent, Unfurnished ,Kothapeta, Kothapeta
302,"Sathavahana Nagar, Kukatpally,Hyderabad","It is a spacious 2 BHK Independent Floor. Finding an Affordable Semi-furnished property is no more difficult. The property is on the floor number 2 in a building which has 5 floors. Property for rent available at unbeatable price in Kukatpally, check out now. Mid-segment homes for rent now in Hyderabad. Fee of Rs 28000 for security charges apply. Property available for property at Rs 14000. Contact for best deal.   This property has a built up area of 900 sq ft and is a perfect fit for your needs. Property on rent near metro is available from 2021-12-31. Rent a home near city's most famous sch...Read more","14,000",2,900,Independent, Semi Furnished ,Sathavahana Nagar, Kukatpally
303,"Shivareddyguda,Ghatkesar, Hyderabad",Semi-furnished property available for rent can be yours now. Your search for 2 BHK property near your workplace is over. Check out this beautiful property available on rent. Searching for Independent House that suits your needs? Your wait ends here. World-class property available for rent in Hyderabad. Check this project for some of the most beautiful and value for money properties. Property available on rent Shivareddyguda Ghatkesar. Sprawling property available at affordable rent in Ghatkesar. Amount of Rs 17000 to be paid as rent excludes other monthly charges. Security amount of Rs 34000 i...Read more,"17,000",2,1500,Independent, Semi Furnished ,Shivareddyguda, Ghatkesar
304,"Vayupuri, Sainikpuri,Hyderabad","This is a well-designed 4 BHK Independent House available for rent. It is situated in a prime location of Hyderabad at Sainikpuri. This modern Independent House is Furnished. The 4 BHK unit fulfills all the needs of a modern lifestyle for families. The Independent House provides complete comfort for the residents. The Independent House lets you enjoy the lush greenery around. Meticulously designed to meet your housing needs, this unit has 4 bedrooms and 2 bathroom. It includes 1 balcony allowing residents to catch a glimpse of the city’s skyline. The carpet area is 1200 Square feet. The total ...Read more","14,500",4,1300,Independent, Semi Furnished ,Vayupuri, Sainikpuri
305,"Kollur, Hyderabad","Fully Furnished property available near metro. This 3 BHK property will let you live life king size. Affordable rental options are here. Choose this Villa. It is one of the most desired location to rent a home. Check out this property in Brick More Elite Villas. House for rent available in Kollur. If you are looking for affordable flats on rent in Hyderabad, you have arrived at the right place. An amount of Rs 50000 levied as security charges is applicable. Monthly rent is Rs 25000. Contact for more information. Searching for up to 3000 sq ft built up area property at an affordable rent, worry...Read more","25,000",3,3000,Villa, Fully Furnished ,Kollur, Kollur
306,"Vajra Jasmine County,Financial District, Nanakaramguda,Hyderabad","Property for rent available. Contact for Fully Furnished property. Apartment for rent. Looking for affordably priced 3 BHK on rent? Homes for rent available in Hyderabad. The property is on floor number 3 in a building with 14 floors. Sprawling property available at affordable rent in Nanakramguda. Rent value of Rs 40000 is expected. Security amount of Rs 120000 will be charged. Check out this 1870 sq ft built up area property, available at an affordable rent. TThis 1309 sq ft (Carpet Area) property has big, sprawling rooms. Check out these 23 photos for this affordable property available on r...Read more","40,000",3,1870,Flat, Fully Furnished ,Vajra Jasmine County, Nanakaramguda
307,"Vayupuri, Sainikpuri,Hyderabad",Fully Furnished property available near metro. This time shift to a Independent House that you aspire for. This 2 BHK property will let you live life king size. Property for rent available in Sainikpuri. Luxury lifestyle in the heart of Hyderabad available now. Fee of Rs 24000 for security charges apply. Rent of Rs 12000 excludes maintenance charges. This 1100 sq ft built up area property is available on rent at an affordable price. This time shift to a spacious 800 sq ft (Carpet Area) property available at an affordable rent. 2 bathroom has bathtub provision. Flats on rent near your office sp...Read more,"12,000",2,1100,Independent, Fully Furnished ,Vayupuri, Sainikpuri
